Author_id,Count,Non_Lxi,CountN,CountNC,Behavior
218482,3,"['N', 'NC', 'NC']",1,2,['both']
221184,5,"['N', 'N', 'NC', 'NC', 'NC']",2,3,['both']
211581,1,['NC'],0,1,['comment']
221944,5,"['N', 'NC', 'NC', 'NC', 'NC']",1,4,['both']
221516,7,"['NC', 'N', 'NC', 'NC', 'NC', 'NC', 'N']",2,5,['both']
213817,3,"['N', 'NC', 'NC']",1,2,['both']
213810,1,['N'],1,0,['thread comment']
215874,2,"['N', 'NC']",1,1,['both']
211539,1,['N'],1,0,['thread comment']
216329,3,"['N', 'N', 'N']",3,0,['thread comment']
212512,1,['N'],1,0,['thread comment']
219850,13,"['N', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC', 'N', 'NC', 'NC', 'NC', 'NC']",2,11,['both']
217904,1,['N'],1,0,['thread comment']
217521,1,['N'],1,0,['thread comment']
221118,4,"['N', 'NC', 'NC', 'NC']",1,3,['both']
211546,1,['N'],1,0,['thread comment']
213753,2,"['N', 'NC']",1,1,['both']
64825,2,"['N', 'N']",2,0,['thread comment']
217954,1,['NC'],0,1,['comment']
216792,2,"['N', 'NC']",1,1,['both']
222462,3,"['NC', 'NC', 'NC']",0,3,['comment']
219350,1,['N'],1,0,['thread comment']
214470,1,['N'],1,0,['thread comment']
221746,2,"['N', 'NC']",1,1,['both']
213584,2,"['N', 'NC']",1,1,['both']
222093,1,['N'],1,0,['thread comment']
221601,1,['N'],1,0,['thread comment']
213926,3,"['N', 'N', 'NC']",2,1,['both']
217910,1,['N'],1,0,['thread comment']
212583,3,"['N', 'NC', 'NC']",1,2,['both']
214662,1,['N'],1,0,['thread comment']
214869,2,"['N', 'NC']",1,1,['both']
222493,1,['N'],1,0,['thread comment']
222377,5,"['N', 'NC', 'NC', 'NC', 'NC']",1,4,['both']
216767,1,['N'],1,0,['thread comment']
222567,6,"['N', 'NC', 'NC', 'NC', 'NC', 'NC']",1,5,['both']
219415,3,"['NC', 'NC', 'N']",1,2,['both']
213439,2,"['N', 'NC']",1,1,['both']
